date;quote;
01/07/2021;1;
01/08/2021;0,95013568;
01/09/2021;1,05577588;
01/10/2021;1,08782759;
01/11/2021;1,1090501;
01/12/2021;1,08480164;
01/01/2022;1,09134422;
01/02/2022;0,97913887;
01/03/2022;0,97340809;
01/04/2022;0,94507251;
01/05/2022;0,95177315;
01/06/2022;0,98354829;
01/07/2022;0,98354829;
01/08/2022;1,0138775;
01/09/2022;1,00855225;
01/10/2022;1,05217694;
01/11/2022;1,04533523;
01/12/2022;1,03052328;
01/01/2023;1,04068004;
01/02/2023;1,05355232;
01/03/2023;0,99171193;
01/04/2023;1,00461127;
01/05/2023;1,01652753;
01/06/2023;1,04395025;
01/07/2023;1,0685472;
01/08/2023;1,0774099;
01/09/2023;1,04628177;
01/10/2023;1,0109517;
01/11/2023;1,10258387;
01/12/2023;1,09716132;
01/01/2024;1,14051962;
01/02/2024;1,17608275;
01/03/2024;1,19502774;
01/04/2024;1,18631183;
01/05/2024;1,24605212;
01/06/2024;1,30579241;
01/07/2024;1,30869771;
01/08/2024;1,35240156;
01/09/2024;1,3424249;
01/10/2024;1,37771486;
01/11/2024;1,51289204;
01/12/2024;1,44346281;
01/01/2025;1,45429452;
01/02/2025;1,42893851;
01/03/2025;1,35270481;
01/04/2025;1,35531191;
01/05/2025;1,41037406;
